trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,6,-38.77361152378659,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,9,20.088476912549083,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,16,19.2144960511025,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,6,-10.286160263387952,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,3,-30.773318870754817,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,3,-33.255866031929244,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.19944972099757285}",30,16,25.926458622372532,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,16,5.072188122796119,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.17981297767299934}",20,10,17.459079847621155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,13,8.710475224759493,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,10,-12.896218326001602,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,16,11.423665338004485,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.1403316058467367}",25,18,14.62074087286951,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.13042370873814554}",30,16,27.516816776601353,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.1205027693673666}",25,14,-19.87966217518493,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.01, 'e': 0.11056977982006957}",20,12,15.62941438008384,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.10062573338693172}",20,13,13.994666984154012,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.09067162446430967}",25,9,15.712128086989912,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,17.36307940425014,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,26.369309769158864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,17,21.241969465265505,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,21,25.24665717257128,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,21.472237137998484,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,12.625971919776484,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,20,17.89065561065694,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,22.504393651933565,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,14.91535324133188,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,15,28.160669772111042,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,8,21.11419104618625,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,16,8.365422106025692,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,7,21.235207755608247,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,12,26.780363600515514,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,14,29.287743160337893,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,8,22.009335633014718,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,10,17.931783527431087,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,11,31.63504119357998,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,13,14.678277564393454,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,7,22.980268391847797,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
